Record,Date,UTC Time,Alarms
1,1/4/2023,22:43:31,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
2,1/5/2023,22:43:36,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
3,1/6/2023,22:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
4,1/7/2023,23:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
5,1/8/2023,0:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
6,1/9/2023,1:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
7,1/10/2023,2:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
12,1/10/2023,7:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
8,1/11/2023,3:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
13,1/11/2023,8:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
9,1/12/2023,4:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
14,1/12/2023,9:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
10,1/13/2023,5:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
15,1/13/2023,10:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
11,1/14/2023,6:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
16,1/14/2023,11:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
26,1/15/2023,21:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
27,1/15/2023,22:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
28,1/15/2023,23:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
29,1/15/2023,0:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
30,1/15/2023,1:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
31,1/16/2023,2:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
32,2/16/2023,2:43:54,Pump P-903 ON
33,2/17/2023,2:43:54,Pump P-903 ON
11,1/14/2023,6:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
16,1/14/2023,11:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
26,1/15/2023,21:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
27,1/15/2023,22:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
28,1/15/2023,23:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
29,1/15/2023,0:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
30,1/15/2023,1:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
31,1/16/2023,2:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
32,2/16/2023,2:43:54,Pump P-903 ON
33,2/17/2023,2:43:54,Pump P-903 ON
1,1/4/2023,22:43:31,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
2,1/5/2023,22:43:36,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
3,1/6/2023,22:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
4,1/7/2023,23:43:54,Pump P-903 ON
5,1/8/2023,0:43:54,BTEX Skid Bypass Alarm
6,1/9/2023,1:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
7,1/10/2023,2:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
12,1/10/2023,7:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
8,1/11/2023,3:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
13,1/11/2023,8:43:54,Pump P-903 ON
9,1/12/2023,4:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
14,1/12/2023,9:43:54,BTEX Skid Bypass Alarm
10,1/13/2023,5:43:54,Pump P-903 ON
15,1/13/2023,10:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
11,1/14/2023,6:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
16,1/14/2023,11:43:54,Pump P-903 ON
26,1/15/2023,21:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
27,1/15/2023,22:43:54,Pump P-903 ON
28,1/15/2023,23:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
29,1/15/2023,0:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
30,1/15/2023,1:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
31,1/16/2023,2:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
32,1/17/2023,3:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
33,1/18/2023,4:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
34,1/19/2023,5:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
35,1/20/2023,6:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
36,1/21/2023,7:43:54,Pump P-903 ON
37,1/22/2023,8:43:54,BTEX Skid Bypass Alarm
38,1/23/2023,9:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
39,1/24/2023,10:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
40,1/25/2023,11:43:54,Pump P-903 ON
17,1/26/2023,12:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
41,1/26/2023,12:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
18,1/27/2023,13:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
42,1/27/2023,13:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
19,1/28/2023,14:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
43,1/28/2023,14:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
20,1/29/2023,15:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
44,1/29/2023,15:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
21,1/30/2023,16:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
45,1/30/2023,16:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
22,1/31/2023,17:43:54,Pump P-903 ON
23,1/31/2023,18:43:54,BTEX Skid Bypass Alarm
24,1/31/2023,19:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
25,1/31/2023,20:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
46,1/31/2023,17:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
78,2/1/2023,1:43:54,BTEX Skid Bypass Alarm
79,2/2/2023,2:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
80,2/3/2023,3:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
81,2/4/2023,4:43:54,Pump P-903 ON
142,9/1/2023,17:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
143,9/1/2023,18:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
144,9/1/2023,19:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
145,9/1/2023,20:43:54,Pump P-903 ON
146,10/2/2023,21:43:54,Pump P-903 ON
147,12/12/2023,22:43:54,BTEX Skid Bypass Alarm
148,12/12/2023,23:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
149,12/12/2023,0:43:34,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
150,1/12/2024,1:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
151,1/13/2024,2:43:54,Pump P-903 ON
152,1/14/2024,3:43:54,BTEX Skid Bypass Alarm
153,1/15/2024,4:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
154,1/16/2024,5:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
155,1/17/2024,6:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
156,1/18/2024,7:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
157,1/19/2024,8:43:54,Pump P-903 ON
158,1/20/2024,9:43:54,BTEX Skid Bypass Alarm
159,1/21/2024,10:43:54,Pump P-903 ON
160,1/22/2024,11:43:54,BTEX Skid Bypass Alarm
161,1/23/2024,12:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
162,1/24/2024,13:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
163,1/25/2024,14:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
164,1/26/2024,15:43:54,Pump P-903 ON
165,1/27/2024,16:43:54,BTEX Skid Bypass Alarm
166,1/28/2024,17:43:54,Pump P-903 ON
167,1/29/2024,18:43:54,BTEX Skid Bypass Alarm
168,1/30/2024,19:43:54,BTEX Skid Bypass Alarm
169,1/31/2024,20:49:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
170,2/1/2024,21:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
171,2/2/2024,22:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
172,2/3/2024,23:43:54,Pump P-903 ON
173,2/4/2024,0:43:54,BTEX Skid Bypass Alarm
174,2/5/2024,1:43:54,Pump P-903 ON
175,2/6/2024,2:43:54,BTEX Skid Bypass Alarm
176,2/7/2024,3:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
177,2/7/2024,4:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
178,2/7/2024,5:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
178,2/7/2024,5:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
178,2/7/2024,5:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
178,2/7/2024,5:43:54,Pump P-904 ON
179,5/24/2024,10:43:54,Pump P-903 ON                                                                                                                                                                                                    
